Date	Sno	Width	Height
2017.03.14 01:04:09.079	329944	63	63
2017.03.14 01:04:09.139	1011151	81	163
2017.03.14 01:04:09.157	2742058	63	63
2017.03.14 01:04:09.173	3387767	63	63
2017.03.14 01:04:09.188	3829518	63	63
2017.03.14 01:04:09.201	3935990	63	127
2017.03.14 01:04:09.223	5348687	63	63
2017.03.14 01:04:09.241	8283952	63	63
2017.03.14 01:04:09.259	9031749	81	163
2017.03.14 01:04:09.273	9623867	63	63
2017.03.14 01:04:09.292	11503760	63	127
2017.03.14 01:04:09.306	11695672	63	63
2017.03.14 01:04:09.325	11885056	63	63
2017.03.14 01:04:09.339	12106102	63	63
2017.03.14 01:04:09.361	12757859	63	63
2017.03.14 01:04:09.377	12949356	63	63
2017.03.14 01:04:09.391	13454977	63	127
2017.03.14 01:04:09.421	14086881	219	99
2017.03.14 01:04:09.432	15449762	63	63
2017.03.14 01:04:09.457	17751903	63	63
2017.03.14 01:04:09.487	18128125	63	63
2017.03.14 01:04:09.498	18231288	63	63
2017.03.14 01:04:09.514	18888434	63	63
2017.03.14 01:04:09.531	19361285	63	63
2017.03.14 01:04:09.581	19807171	472	23
2017.03.14 01:04:09.596	22679439	63	127
2017.03.14 01:04:09.607	28980741	63	63
2017.03.14 01:04:09.623	30586246	81	163
2017.03.14 01:04:09.642	30601022	63	127
2017.03.14 01:04:09.661	32183695	63	63
2017.03.14 01:04:09.678	32853628	63	127
2017.03.14 01:04:09.692	33455206	63	127
2017.03.14 01:04:09.706	35667136	63	127
2017.03.14 01:04:09.723	36695784	81	163
2017.03.14 01:04:09.738	38619231	63	63
2017.03.14 01:04:09.756	39729065	63	63
2017.03.14 01:04:09.787	39930236	94	142
2017.03.14 01:04:09.804	40454485	63	127
2017.03.14 01:04:09.815	43071383	63	127
2017.03.14 01:04:09.839	44245386	63	63
2017.03.14 01:04:09.850	44403127	63	63
2017.03.14 01:04:09.918	44435619	223	241
2017.03.14 01:04:09.930	44718894	588	1199
2017.03.14 01:04:09.946	45341685	63	63
2017.03.14 01:04:09.965	46288016	63	63
2017.03.14 01:04:09.977	46932230	63	63
2017.03.14 01:04:09.996	49021342	63	127
2017.03.14 01:04:10.010	49187103	63	63
2017.03.14 01:04:10.021	50831065	63	63
2017.03.14 01:04:10.037	51241495	63	63
2017.03.14 01:04:10.058	51607917	63	127
2017.03.14 01:04:10.070	51607920	63	127
2017.03.14 01:04:10.087	51607922	63	127
2017.03.14 01:04:10.105	51607923	63	127
2017.03.14 01:04:10.122	51607924	63	127
2017.03.14 01:04:10.146	52217496	63	63
2017.03.14 01:04:10.161	53927899	63	63
2017.03.14 01:04:10.173	55140559	63	63
2017.03.14 01:04:10.197	56049087	63	63
2017.03.14 01:04:10.212	56117024	63	99
2017.03.14 01:04:10.224	56872620	63	63
2017.03.14 01:04:10.247	57352976	63	63
2017.03.14 01:04:10.259	58330614	63	63
2017.03.14 01:04:10.277	58880833	63	63
2017.03.14 01:04:10.294	58911996	63	63
