HeroClass	Set Name	Special	#	Sno	SnoName		
Barbarian	BulKathos		2	0			It's a Fury generator, no buff
Barbarian	BulKathos	 	2	434377	P2_ItemPassive_Unique_Ring_051		During Whirlwind you gain [{VALUE1}*100]% increased attack speed and movement speed.
Barbarian	ImmortalKingCall		2	318760	ItemPassive_Unique_Ring_578_x1		Call of the Ancients last until they die.
Barbarian	ImmortalKingCall		4	429851	P2_ItemPassive_Unique_Ring_027		Reduce the cooldown of Wrath of the Berserker and Call of the Ancients by [{VALUE1}] seconds for every 10 Fury you spend with an attack.
Barbarian	ImmortalKingCall		6	430684	P2_ItemPassive_Unique_Ring_048		While both Wrath of the Berserker and Call of the Ancients is active, you deal [{VALUE1}*100]% increased damage.
Barbarian	MightOfTheEarth		2	318762	ItemPassive_Unique_Ring_580_x1		Reduce the cooldown of Earthquake, Avalanche, Leap, and Ground Stomp by 1 second for every {VALUE1} Fury you spend with an attack.
Barbarian	MightOfTheEarth		4	318418	ItemPassive_Unique_Ring_529_x1		Leap causes an Earthquake when you land. Additionally, Leap gains the effect of the Iron Impact rune and the rune's effect and duration are increased by [{VALUE1}*100]%.
Barbarian	MightOfTheEarth		6	444521	P4_ItemPassive_Unique_Ring_001		Increase the damage of Earthquake, Avalanche, Leap, Ground Stomp, Ancient Spear and Seismic Slam by [{VALUE1}*100]%.
Barbarian	TheLegacyOfRaekor		2	429665	P2_ItemPassive_Unique_Ring_025		Furious Charge refunds a charge if it hits only 1 enemy.
Barbarian	TheLegacyOfRaekor		4	359563	ItemPassive_Unique_Ring_718_x1		Furious Charge gains the effect of every rune and deals [{VALUE1}*100]% increased damage.
Barbarian	TheLegacyOfRaekor		6	429673	P2_ItemPassive_Unique_Ring_026		Every use of Furious Charge increases the damage of your next Fury-spending attack by [{VALUE1}*100]%. This effect stacks. Every use of a Fury-spending attack consumes up to 5 stacks.
Barbarian	WrathOfTheWastes		2	423206	P2_ItemPassive_Unique_Ring_002		Increase the damage per second of Rend by [{VALUE1}*100]% and its duration to 15 seconds.
Barbarian	WrathOfTheWastes		4	423205	P2_ItemPassive_Unique_Ring_001		During Whirlwind you gain [{VALUE1}*100]% damage reduction and your applied Rends deal triple damage.
Barbarian	WrathOfTheWastes		6	423226	P2_ItemPassive_Unique_Ring_003		Whirlwind gains the effect of the Dust Devils rune and all Whirlwind damage is increased by [{VALUE1}*100]%.
Crusader	NorvaldFervor	Primary	2	447291	P4_ItemPassive_Unique_Ring_052		Gain [{VALUE1}*100]% increased damage while using Steed Charge and for 5 seconds after it ends.
Crusader	NorvaldFervor	Secondary	2	447290	P4_ItemPassive_Unique_Ring_051		Increases the duration of Steed Charge by 2 seconds. In addition, killing an enemy reduces the cooldown of Steed Charge by [{VALUE1}] |4second:seconds;.
Crusader	ArmorOfAkkhan		2	359584	ItemPassive_Unique_Ring_736_x1		Reduce the cost of all abilities by 50% while Akarat's Champion is active.
Crusader	ArmorOfAkkhan		4	359585	ItemPassive_Unique_Ring_737_x1		Reduce the cooldown of Akarat's Champion by 50%.
Crusader	ArmorOfAkkhan		6	445942	P4_ItemPassive_Unique_Ring_018		While Akarat's Champion is active, you deal 600% increased damage and take 15% less damage.
